en_tok,de_tok
you ' ve asked me that three times already .,das hast du mich schon drei mal gefragt .
i ' m not sure i can afford it .,"ich weiß nicht so recht , ob ich es mir leisten kann ."
let ' s go outside and see what ' s going on .,"sehen wir doch einmal nach , was draußen los ist !"
that music always reminded me of you .,diese musik erinnerte mich ständig an dich .
i thought you might find this book interesting .,"ich dachte , dass dich dieses buch interessieren könnte ."
why does that make you angry ?,weshalb ärgert dich das ?
that ' s all you have to do for now .,"das ist vorerst alles , was ihr tun müßt ."
where ' s your weapon ?,wo ist deine waffe ?
i couldn ' t see a thing .,ich konnte überhaupt nichts sehen .
you can contact me in case of emergency .,im notfall können sie mich kontaktieren .
the candle burned out .,die kerze erlosch .
"i ' m on vacation , too .",ich habe auch ferien .
did it make you angry ?,hat euch das wütend gemacht ?
it ' s open .,er hat auf .
your job isn ' t difficult .,deine arbeit ist nicht schwer .
he unbuttoned his shirt .,er knöpfte sein hemd auf .
tom will be hard to beat .,tom wird schwer zu schlagen sein .
there ' s a very strong wind blowing .,es weht ein sehr starker wind .
i wish you ' d told me sooner .,"ich wünschte , ihr hättet mir das eher gesagt !"
you bet i ' m worried .,und ob ich mir sorgen mache !
tom and mary went camping in the mountains .,tom und maria sind zum zelten in die berge gefahren .
the restaurant is on the ground floor .,das restaurant befindet sich im erdgeschoss .
aren ' t you at least curious ?,bist du denn nicht wenigstens neugierig ?
i can finally tell you .,ich kann es dir endlich sagen .
the milk had curdled .,die milch war geronnen .
i wonder if it ' ll rain tomorrow .,ob es morgen wohl regnet ?
this is my new guitar .,das ist meine neue gitarre .
we haven ' t heard from her since then .,wir haben seitdem nichts mehr von ihr gehört .
we ' ve no choice but to do it this way .,"wir haben keine andere wahl , als es so zu machen ."
she baked me a cake .,sie hat mir einen kuchen gebacken .
i hope that you aren ' t getting bored .,"ich hoffe , ihnen wird nicht langweilig ."
we ' ll stop that .,wir werden dies stoppen .
a sponge absorbs liquids .,ein schwamm nimmt flüssigkeiten auf .
"if anything should happen , please let me know .","sollte sich etwas ereignen , lassen sie es mich bitte wissen ."
we worked until dawn .,wir haben bis zur morgendämmerung durchgearbeitet .
i took it .,ich nahm es .
tom is the murderer .,tom ist der mörder .
tom has always been there for me whenever i needed him .,"tom war immer für mich da , wenn ich ihn brauchte ."
i have no interest whatsoever in eating english food .,ich habe überhaupt kein interesse an der englischen küche .
i have a question for tom .,ich habe eine frage an tom .
why don ' t you try to behave like a gentleman ?,warum versuchst du dich nicht wie ein mann von anstand zu benehmen ?
that man ' s helped my family a lot .,der mann hat meiner familie sehr geholfen .
this book will awaken your imagination .,dieses buch wird deine fantasie anregen .
i hope that you can do that for me .,"ich hoffe , dass ihr das für mich tun könnt ."
what are you learning at school ?,was lernst du in der schule ?
the car ' s antenna is built into the windshield .,die antenne des wagens ist in die windschutzscheibe integriert .
do you have a mobile phone ?,hast du ein natel ?
you ' re nowhere near being finished .,du bist noch lange nicht fertig .
tom found a box in the attic .,tom hat eine kiste auf dem dachboden gefunden .
"the same thing happened to you , didn ' t it ?","ihnen ist das gleiche passiert , oder ?"
we need all the help we can get .,"wir brauchen alle hilfe , die wir kriegen können ."
tom tried to get into the locked room .,"tom versuchte , in das verschlossene zimmer zu gelangen ."
what made you ask tom that ?,"was hat dich dazu gebracht , tom das zu fragen ?"
you ' re a beauty .,du bist eine schönheit .
i ' ll give you all i ' ve got .,"ich werde dir alles geben , was ich habe ."
how are you two getting along ?,wie kommt ihr zwei miteinander aus ?
the rest doesn ' t matter .,der rest ist nicht wichtig .
i really enjoy learning languages .,ich lerne sehr gerne sprachen .
the basements of the houses are likely to have problems .,bei den untergeschossen der häuser scheint es probleme zu geben .
that portrait reminds me of someone i knew a long time ago .,"das porträt erinnert mich an jemanden , den ich vor langer zeit einmal kannte ."
he must be aware of the danger .,er muss sich der gefahr bewusst sein .
it is cheaper to go by bus .,"es ist billiger , den bus zu nehmen ."
married people are happier than unmarried people .,verheiratete sind glücklicher als unverheiratete .
there ' s something i need to tell you .,"es gibt da etwas , was ich euch sagen muss ."
tom is a grandfather .,tom ist großvater .
i was hoping you could help me .,"ich habe gehofft , sie könnten mir helfen ."
i need some medicine to kill the pain .,"ich brauche ein medikament , um die schmerzen abzustellen ."
i ' ll let you know immediately .,ich werde euch sofort bescheid sagen .
tom hasn ' t seen mary since october .,tom hat mary seit oktober nicht gesehen .
it can ' t get any worse .,schlimmer geht es nicht .
i have a lot of faith in you .,ich habe großes vertrauen in dich .
i don ' t have the authority to give you permission .,"ich bin nicht befugt , ihnen die genehmigung zu erteilen ."
what ' s it going to take to persuade you ?,"was ist nötig , um dich zu überreden ?"
tom was jealous when he saw mary talking to another boy .,"tom war eifersüchtig , als er maria mit einem anderen jungen sprechen sah ."
can we afford that ?,können wir uns das leisten ?
perhaps you ' d better leave .,"vielleicht wäre es besser , wenn du gingest ."
you know how much i care for you .,"du weißt , wie wichtig du mir bist ."
they were dirty .,sie waren dreckig .
tom is incredibly moody .,tom ist ausgesprochen launisch .
tom is never going to leave you alone .,tom wird sie niemals alleine lassen .
tom turned off the television .,tom schaltete den fernseher aus .
did you take the book back to the library ?,hast du das buch der bibliothek zurückgegeben ?
he ran away with the diamond .,er flüchtete mit dem diamanten .
they worshipped him as a hero .,er wurde als held verehrt .
i ' m just a farmer .,ich bin lediglich ein bauer .
are these your horses ?,sind das ihre pferde ?
tom got here fifteen minutes after mary .,tom kam eine viertelstunde nach maria hier an .
i do think it ' s possible .,"ich glaube sehr wohl , dass das möglich ist ."
tom and mary have a second home .,tom und maria haben noch ein haus .
"thankfully , tom didn ' t break everything .",zum glück hat tom nicht alles kaputtgemacht .
you better buy that book .,sie sollten dieses buch kaufen .
a person ' s soul is immortal .,des menschen seele ist unsterblich .
tom prefers not to talk about it .,"tom zieht es vor , nicht darüber zu sprechen ."
it ' s a shame the way old people are treated .,"es ist eine schande , wie alte menschen behandelt werden ."
"ok , you ' re free to go home .","gut , du kannst nach hause ."
don ' t walk under ladders .,nicht unter der leiter hergehen !
my credit card was rejected by the atm .,meine kreditkarte wurde vom geldautomaten abgewiesen .
you ' re the worst student in the class .,du bist der schlechteste schüler in der klasse .
he doesn ' t know what to do with his money .,"er weiß nicht , wohin mit dem geld ."
"i ' d like some more bread , please .",ich hätte gerne noch etwas brot .
translate these sentences .,übersetze diese sätze !
what prevented you from working ?,was hat dich vom arbeiten abgehalten ?
open the safe .,öffne den tresor !
how many instruments do you know how to play ?,wie viele instrumente kannst du spielen ?
it has no bearing on this problem .,es ist belanglos für dieses problem .
tom was turned down .,tom wurde abgewiesen .
tom was arrested last week .,tom wurde letzte woche festgenommen .
tom did everything he was supposed to do .,"tom erledigte alles , was er tun sollte ."
tom employed mary to be his assistant .,tom stellte maria als seine assistentin ein .
tom pretended not to understand french .,"tom gab vor , kein französisch zu verstehen ."
i ' ll lend you mine .,ich werde ihnen meine leihen .
where ' s tom ' s father ?,wo befindet sich toms vater ?
where was tom sitting when you left ?,"wo hat tom gesessen , als du gegangen bist ?"
don ' t come back too soon .,komm nicht zu früh zurück .
we have good news .,wir haben eine gute nachricht .
i know what it ' s like .,"ich weiß , wie es ist ."
does it matter to you when we come ?,"macht es ihnen etwas aus , wann wir kommen ?"
we were eating lunch together .,wir aßen zusammen zu mittag .
i have blue eyes .,ich habe blaue augen .
is there something you want me to tell tom ?,soll ich tom etwas ausrichten ?
what ' s your job ?,was machen sie beruflich ?
"that isn ' t fair , and you know it .","das ist ungerecht , und das weißt du auch ."
i can ' t put up with the inconvenience of country life .,ich werde mit den unannehmlichkeiten des landlebens nicht fertig .
do you want to see it now ?,willst du es jetzt sehen ?
i ' ve already arranged to do that .,ich habe das schon arrangiert .
did you decide to go to japan ?,"hast du dich entschlossen , nach japan zu gehen ?"
i ' ve said it often enough .,ich habe das ja oft genug gesagt .
he ' s in the well .,er ist im brunnen .
what ' s tom doing today ?,was macht tom heute ?
tom said he ' ll buy that for you .,"tom hat gesagt , daß er ihnen das kauft ."
tom hid his weapons .,tom verbarg seine waffen .
tom is an unreliable person .,tom ist ein unzuverlässiger mensch .
i take a shower almost every day .,ich dusche fast jeden tag .
she is less intelligent than you .,sie ist weniger intelligent als ihr .
she ' s not a full - time employee of this company .,sie ist keine vollzeitkraft in dieser firma .
tom looks really young .,tom sieht sehr jung aus .
tom is almost in shock .,tom steht nahezu unter schock .
tom and mary must love each other very much .,tom und maria müssen sich sehr lieben .
tom keeps bothering me .,tom belästigt mich unentwegt .
tom opened the refrigerator .,tom hat den kühlschrank aufgemacht .
have you found any money ?,haben sie geld gefunden ?
we worry about your future .,wir sorgen uns um eure zukunft .
i have no regrets .,ich bereue nichts .
i have three sisters and a brother .,ich habe drei schwestern und einen bruder .
i ' m ironing my dress .,ich bügele mein kleid .
your handwriting is quite elegant .,deine handschrift ist ziemlich elegant .
he played a key role in the movement .,er spielte eine schlüsselrolle in der bewegung .
a doctor tried to remove the bullet from his back .,"ein arzt versuchte , die kugel aus seinem rücken zu entfernen ."
at which university are you studying ?,an welcher universität studiert ihr ?
close all the windows .,schließ alle fenster .
we want to get to the border .,wir wollen zur grenze .
did tom say when he ' d meet mary ?,"sagte tom , wann er mary treffen werde ?"
aren ' t you planning to stay here for a while ?,wollt ihr nicht eine zeitlang hierbleiben ?
it ' s not particularly difficult .,das ist nicht weiter schwierig .
he lost his temper .,sein temperament ist mit ihm durchgegangen .
"there was supposed to be a dance , but it was canceled .","es sollte ein ball stattfinden , aber er wurde abgesagt ."
what is the purpose of life ?,was ist der sinn des lebens ?
tom seemed unsure .,tom schien unsicher .
you ' re not supposed to tell anyone what you wished for .,"ihr dürft niemandem sagen , was ihr euch gewünscht habt ."
tom had to wait for a long time .,tom hat lange zeit warten müssen .
